#CLUSTER             ddG_298.15K_[Eh]       ddH_298.15K_[Eh]     ddS_298.15K_[Eh/K]
2dma1sa              -14.657744841708336    -36.97158980171662   -74.84100271641381
1dma1sa2w            -14.659326299850363    -45.93637491532718   -104.9037350852166
1fa1ma1sa            -14.727334576135036    -37.28616493032314   -75.6626877551556
1dma1msa1nta         -15.045937453192892    -39.131432734953705  -80.78314701302092
2eda1sa              -15.05062324757455     -40.05827630351996   -83.87607934240745
1ma1sa1tma           -15.111670910744579    -37.67555795141379   -75.67964796460677
1put1sa              -15.243404723354615    -28.90631026070332   -45.82560971768115
3dma1sa              -15.281979953520931    -50.06757470156299   -116.67145647520476
2am1msa1nta          -15.35463633495965     -47.34981519164285   -107.31235571615821
1pa3sa               -15.379629517672583    -57.03210372827016   -139.70308304878972
2am1nta1sa           -15.70240501005901     -47.71851008851081   -107.3825426070283
1am1sa1tma           -15.705981725724996    -35.972411660215585  -67.97393907268237
4sa1w                -15.717711235862225    -61.856639166755485  -154.7507225575483
1am1eda1fa1msa       -15.81760846072575     -50.18097697105259   -115.25530273431335
1am1eda2nta          -15.876003243902232    -49.029030768724624  -111.19579917783902
1eda1fa1msa          -15.881115430674981    -40.31052187283058   -81.93663069609333
4sa                  -15.89372490090318     -54.53443721472286   -129.60158414618627
1ma2nta1tma          -15.919971007926506    -49.65695586646325   -113.15440167213521
1am1fa1ma1msa        -15.922475167375524    -48.36205979535589   -108.80289997680023
3sa3w                -15.945740239927545    -73.1676207263954    -191.92312757474443
1ca2sa               -15.993195586954243    -45.11077099025715   -97.66082644114867
2ma2nta              -16.008092210337054    -50.77776156476466   -116.6180424428058
2msa2sa              -16.01898712757975     -55.96827803819906   -133.99057826755003
1am1dma2nta          -16.282582158397418    -49.33354892604984   -110.85348572069942
1eda1msa1nta         -16.43305730461725     -41.391797293385025  -83.71202411250154
3sa5w                -16.51249591843225     -93.85965974500868   -259.4236586496265
1dma1fa1msa          -16.689508297422435    -40.118967425310984  -78.58279097130414
1eda1nta1sa          -16.711444223939907    -39.857536246068776  -77.6323730414418
3msa2sa              -16.759767729672603    -70.52544715616386   -180.3309724168762
1fa1sa1tma           -16.84469787160924     -40.028463768278016  -77.75873183460018
2nta2tma             -16.969697928143432    -50.649383892829064  -112.96222024037229
2msa3sa              -16.99025418399833     -69.61445077415556   -176.50242022429225
1dma1p2sa            -17.033182358485647    -39.85396990424488   -76.54129647991871
1am1fa1ma1sa         -17.036823583825026    -49.38449546019547   -108.49462309694381
1dma1nta1sa          -17.082905594317708    -40.04815485293511   -77.02582343970349
1dma1eda1sa          -17.177096738829277    -41.183948467543814  -80.51937524406303
1pha2sa              -17.231279041268863    -43.35746616369579   -87.62766098310597
4sa2w                -17.41227827919647     -78.65020001176163   -205.392995916781
1ma2msa              -17.42193244677037     -42.892870625597425  -85.42994525850636
1fa2ma1sa            -17.624470974726137    -50.56086353142746   -110.46920193435864
1nta1sa1tma          -17.830079768100404    -40.156760331912665  -74.88405354223447
1eda1fa1sa           -17.914720469445456    -41.294199710537214  -78.41515760900195
1am1ma1msa1nta       -18.00404653282021     -52.86368348397082   -116.91979524174293
1am1msa1sa           -18.012623413815163    -41.9285912544583    -80.21454918961668
1mbtca3sa            -18.0393478567712      -59.63755325321108   -139.52106455204222
1am1msa1nta1tma      -18.051189195466577    -52.25907306661247   -114.7338046996362
2put1sa              -18.058040832693223    -46.68582025927026   -96.01804268416979
4sa4w                -18.100073942681774    -99.68928201537346   -273.651544769162
1fa2ma1msa           -18.199812582985032    -52.06947148259496   -113.59939258619052
1fa1ma1sa1tma        -18.296835386907333    -51.9612339194573    -112.91094594157383
2am1dma1p            -18.36541053050314     -35.70332191202033   -58.151639716600926
2msa1tma             -18.36953557918605     -43.83237790342537   -85.40279162958947
1dma1fa1sa           -18.429189390910324    -41.22485889325617   -76.45705015059912
2am1p                -18.54506852266786     -25.701360852559446  -24.00232208583033
1eda2nta1tma         -18.617674526016344    -53.82465183202294   -118.08478050028498
1msa1nta2tma         -18.659741673676763    -55.64600346388761   -124.05252990175978
2mea1sa2w            -18.66861304937629     -63.14832773167291   -149.1856940542895
1dma1fa1msa1tma      -18.69192315802502     -53.683272615104215  -117.36156115043974
1am1eda1fa1sa        -18.77794979821192     -52.683578418393154  -113.7200356202495
1fa1sa2tma           -19.058563765807776    -53.925805496866815  -116.94530179681749
5sa                  -19.109233420342207    -67.18767391657457   -161.25587957931808
1am2sa               -19.12737339991145     -41.71022640937008   -75.74326013561728
1dma1fa1ma1msa       -19.22446351585677     -53.953554305655416  -116.48194127101488
1am2dma1p            -19.24386638319993     -38.34508619392      -64.06580516772438
3dma1p               -19.333780144705088    -41.136998158021015  -73.12835154546786
2pa2sa               -19.61116293456871     -62.61849493626505   -144.24729834494616
1eda1ma2nta          -19.64829966693651     -55.21979182126233   -119.30736929194407
1am1dma1fa1sa        -19.735142152931076    -52.742646013444755  -110.70771041604524
1eda1fa1ma1sa        -20.03420670860214     -54.402545061078854  -115.27197166686366
