Number of files in database_s1.pkl: 30538
Number of files in database_s2.pkl: 30538
Example output:
info  cluster_type                                                              1am1dma1msa1nta
      component_ratio                                                              [1, 1, 1, 1]
      components                                                            [msa, nta, am, dma]
      file_basename                                                        1msa1nta1am1dma-30_1
      folder_path                             /home/kubeckaj/BCP/knattrup/clusteromics_IV/GF...
1msa1nta1am1dma-5_10    -55.76286465174
1msa1nta1am1dma-49_4    -55.73645884578
1msa1nta1am1dma-56_8    -55.71920394138
1msa1nta1am1dma-26_3    -55.74166777439
1msa1nta1am1dma-14_1    -55.77667404725
1msa1nta1am1dma-42_7    -55.74026825795
1msa1nta1am1dma-39_8    -55.73150686178
1msa1nta1am1dma-49_3    -55.73297854919
1msa1nta1am1dma-6_6     -55.76156870261
1msa1nta1am1dma-51_2    -55.7360850366 
1msa1nta1am1dma-21_9    -55.74424928617
1msa1nta1am1dma-35_6    -55.74157360326
1msa1nta1am1dma-19_11   -55.73772125468
1msa1nta1am1dma-53_4    -55.73308623643
1msa1nta1am1dma-61_6    -55.72706668715
1msa1nta1am1dma-40_1    -55.76765680164
1msa1nta1am1dma-16_7    -55.73863744836
1msa1nta1am1dma-59_11   -55.71827436346
1msa1nta1am1dma-24_5    -55.74893885819
1msa1nta1am1dma-40_6    -55.76085478271
1msa1nta1am1dma-42_11   -55.73277879264
1msa1nta1am1dma-24_2    -55.74575266955
1msa1nta1am1dma-54_9    -55.72937349478
1msa1nta1am1dma-67_10   -55.71564323015
1msa1nta1am1dma-8_9     -55.77350881592
1msa1nta1am1dma-37_7    -55.73985898917
1msa1nta1am1dma-27_10   -55.74090559427
1msa1nta1am1dma-23_8    -55.74278800828
1msa1nta1am1dma-53_3    -55.72525558699
1msa1nta1am1dma-58_7    -55.72659143241
1msa1nta1am1dma-61_1    -55.74251611271
1msa1nta1am1dma-4_7     -55.77321743887
