Number of files in database_s1.pkl: 30317
Number of files in database_s2.pkl: 30316
Example output:
info  cluster_type                                                                          1am
      component_ratio                                                                       [1]
      components                                                                           [am]
      file_basename                                                                       1am-3
      folder_path                             /home/kubeckaj/BCP/knattrup/clusteromics_II/GF...
1msa1am1eda-45_5    -41.77272449653
1msa1am1eda-25_10   -41.77902126123
1msa1am1eda-3_6     -41.78561246811
1msa1am1eda-8_2     -41.78989561093
1msa1am1eda-65_10   -41.73868844075
1msa1am1eda-14_9    -41.78894231551
1msa1am1eda-64_2    -41.76502193112
1msa1am1eda-32_4    -41.78203748542
1msa1am1eda-40_11   -41.77397149613
1msa1am1eda-3_1     -41.80747039342
1msa1am1eda-56_7    -41.76706703876
1msa1am1eda-8_5     -41.78536648039
1msa1am1eda-64_5    -41.77066705796
1msa1am1eda-8_11    -41.78806899792
1msa1am1eda-32_3    -41.78466242749
1msa1am1eda-42_8    -41.76975014739
1msa1am1eda-39_7    -41.78223919869
1msa1am1eda-13_4    -41.7850287625 
1msa1am1eda-21_6    -41.78757990278
1msa1am1eda-35_9    -41.77200214872
1msa1am1eda-45_2    -41.76521318302
1msa1am1eda-56_9    -41.76085863388
