Number of files in database_s1.pkl: 30501
Number of files in database_s2.pkl: 30501
Example output:
info  cluster_type                                                                       1am1fa
      component_ratio                                                                    [1, 1]
1fa1dma1eda-49_10      -515.29538671326  
1fa1dma1eda-60_6       -515.316469347876 
1fa1dma1eda-52_4       -515.308432408452 
1fa1dma1eda-5_8        -515.307760381139 
1fa1dma1eda-41_1       -515.352163148196 
1fa1dma1eda-2_2        -515.319812799674 
1fa1dma1eda-25_5       -515.319961029911 
1fa1dma1eda-17_7       -515.313791972369 
1fa1dma1eda-9_6        -515.301842630341 
1fa1dma1eda-50_6       -515.309289187372 
1fa1dma1eda-62_4       -515.311410520567 
1fa1dma1eda-34_2       -515.318410958904 
1fa1dma1eda-44_9       -515.295439270765 
1fa1dma1eda-15_5       -515.316878233296 
1fa1dma1eda-27_7       -515.329799852918 
1fa1dma1eda-48_7       -515.316502980153 
1fa1dma1eda-33_8       -515.289823284938 
1fa1dma1eda-43_3       -515.321866373667 
1fa1dma1eda-15_2       -515.306253387823 
1fa1dma1eda-65_9       -515.310686878766 
1fa1dma1eda-34_11      -515.312756308574 
1fa1dma1eda-11_10      -515.313790153259 
1fa1dma1eda-43_4       -515.309525979314 
1fa1dma1eda-50_1       -515.351063299455 
1fa1dma1eda-12_8       -515.315398638019 
1fa1dma1eda-62_3       -515.302524971887 
1fa1dma1eda-51_10      -515.315216672675 
1fa1dma1eda-34_5       -515.307474693397 
1fa1dma1eda-22_11      -515.310505438257 
1fa1dma1eda-65_7       -515.304404044998 
1fa1dma1eda-57_5       -515.317023104379 
1fa1dma1eda-38_5       -515.303755280781 
1fa1dma1eda-33_1       -515.352581761687 
1fa1dma1eda-20_4       -515.296141480335 
