Number of files in database_s1.pkl: 15587
Number of files in database_s2.pkl: 15587
Example output:
info  cluster_type                                                                      1am1dma
      component_ratio                                                                    [1, 1]
1eda-9             -190.454446194823 
1eda-10            -190.451420071738 
1ma1dma-1_4        -230.914901266328 
1ma1dma-1_3        -230.911856295922 
1ma1dma-3_5        -230.918480506069 
1ma1dma-3_2        -230.908286587452 
1ma1dma-4_8        -230.91575599098  
1ma1dma-4_6        -230.924432344707 
1ma1dma-4_11       -230.919105135258 
1ma1dma-4_1        -230.943357650014 
1ma1dma-2_10       -230.909544905178 
1ma1dma-2_5        -230.916790900597 
1ma1dma-2_2        -230.902336075792 
1ma1dma-4_10       -230.922134516767 
1ma1dma-4_7        -230.919990569095 
1ma1dma-3_3        -230.916852931686 
1ma1dma-4_9        -230.915251170182 
1ma1dma-3_4        -230.912025980264 
1ma1dma-1_2        -230.910542543587 
1ma1dma-1_5        -230.920655410622 
1ma1dma-2_3        -230.915245922276 
1ma1dma-2_4        -230.905667891313 
1ma1dma-2_11       -230.914106038943 
1ma1dma-2_9        -230.912836010342 
1ma1dma-1_11       -230.917183198746 
1ma1dma-2_7        -230.918596043745 
1ma1dma-4_4        -230.910215638678 
1ma1dma-4_3        -230.913800749713 
1ma1dma-3_9        -230.922671020013 
1ma1dma-3_7        -230.923486063107 
1ma1dma-3_11       -230.915942555151 
1ma1dma-1_6        -230.916675737767 
1ma1dma-1_1        -230.943224181671 
1ma1dma-1_8        -230.920412245488 
1ma1dma-2_1        -230.943336996077 
1ma1dma-1_10       -230.908918665517 
1ma1dma-2_6        -230.918473892458 
1ma1dma-2_8        -230.921909760178 
1ma1dma-1_9        -230.919117838147 
1ma1dma-1_7        -230.910939469376 
1ma1dma-3_1        -230.943299094321 
1ma1dma-3_10       -230.926102497813 
1ma1dma-3_6        -230.906861279864 
1ma1dma-4_2        -230.917127879408 
1ma1dma-3_8        -230.918232979222 
1ma1dma-4_5        -230.918443211186 
1ma1eda-16_1       -286.295530226173 
1ma1eda-1_4        -286.264646692946 
1ma1eda-1_3        -286.26366559198  
1ma1eda-6_9        -286.267817442266 
1ma1eda-16_6       -286.273719011932 
1ma1eda-11_2       -286.265346698885 
1ma1eda-14_11      -286.265868561771 
1ma1eda-6_7        -286.268346390694 
1ma1eda-16_8       -286.279053275759 
1ma1eda-1_10       -286.267314813274 
1ma1eda-11_5       -286.270464855491 
1ma1eda-13_3       -286.269206343666 
1ma1eda-8_8        -286.272587573202 
1ma1eda-14_9       -286.268550562565 
1ma1eda-4_6        -286.267888494867 
1ma1eda-8_11       -286.265086211942 
1ma1eda-4_1        -286.296058592681 
1ma1eda-13_4       -286.274863701476 
1ma1eda-10_10      -286.270599986091 
1ma1eda-3_5        -286.268419809426 
1ma1eda-8_1        -286.296307451693 
1ma1eda-3_2        -286.266521377766 
1ma1eda-8_6        -286.272878589913 
1ma1eda-5_11       -286.27833949513  
1ma1eda-14_7       -286.265599208324 
1ma1eda-4_8        -286.264810592205 
1ma1eda-7_9        -286.259193638558 
1ma1eda-7_7        -286.268727118087 
1ma1eda-10_2       -286.259360747669 
1ma1eda-3_10       -286.272947302332 
1ma1eda-10_5       -286.273769621228 
1ma1eda-16_11      -286.274639828285 
1ma1eda-5_6        -286.261255204113 
1ma1eda-15_9       -286.265093488737 
1ma1eda-9_8        -286.272892100704 
1ma1eda-12_3       -286.262883858133 
1ma1eda-12_4       -286.272208510546 
1ma1eda-5_1        -286.296215936416 
1ma1eda-9_1        -286.297109309239 
1ma1eda-7_11       -286.267004806286 
1ma1eda-2_5        -286.275759017042 
1ma1eda-5_8        -286.271720454976 
1ma1eda-15_7       -286.273656707658 
1ma1eda-12_10      -286.258092981766 
1ma1eda-9_6        -286.275868072626 
1ma1eda-2_2        -286.269377886718 
1ma1eda-3_3        -286.269208395479 
1ma1eda-8_7        -286.271261600085 
1ma1eda-5_10       -286.268085828694 
1ma1eda-14_6       -286.267127273735 
1ma1eda-4_9        -286.271442323414 
1ma1eda-14_1       -286.296511659741 
1ma1eda-10_11      -286.271178780798 
1ma1eda-3_4        -286.262746308598 
1ma1eda-8_10       -286.262335107324 
1ma1eda-13_5       -286.273748998118 
1ma1eda-13_2       -286.269620943873 
1ma1eda-8_9        -286.267666108393 
1ma1eda-14_8       -286.272944794354 
1ma1eda-4_7        -286.276303579748 
1ma1eda-6_1        -286.296939225155 
1ma1eda-1_11       -286.272852589493 
1ma1eda-11_4       -286.274868141118 
1ma1eda-11_3       -286.264422005035 
1ma1eda-14_10      -286.26453640468  
1ma1eda-6_6        -286.265977846098 
1ma1eda-16_9       -286.263639914244 
1ma1eda-1_2        -286.263554887176 
1ma1eda-6_8        -286.272672375404 
1ma1eda-16_7       -286.275419789408 
1ma1eda-1_5        -286.268027032941 
1ma1eda-5_9        -286.26962752448  
1ma1eda-12_11      -286.263279905375 
1ma1eda-15_6       -286.275727572438 
1ma1eda-9_7        -286.279161224061 
1ma1eda-2_3        -286.268764189727 
1ma1eda-7_10       -286.275891444411 
1ma1eda-2_4        -286.274794292465 
1ma1eda-15_1       -286.295140952844 
1ma1eda-12_5       -286.260578742194 
1ma1eda-5_7        -286.273473023186 
1ma1eda-15_8       -286.280759393002 
1ma1eda-9_9        -286.264121347467 
1ma1eda-12_2       -286.259412920313 
1ma1eda-10_4       -286.269489974228 
1ma1eda-7_1        -286.297065020516 
1ma1eda-16_10      -286.267216868235 
1ma1eda-7_6        -286.265322015343 
1ma1eda-10_3       -286.264121200633 
1ma1eda-3_11       -286.263430820503 
1ma1eda-7_8        -286.263700476332 
1ma1eda-12_8       -286.267113756136 
1ma1eda-9_3        -286.264729208023 
1ma1eda-2_7        -286.260943324788 
1ma1eda-15_2       -286.275351622416 
1ma1eda-15_5       -286.266725248319 
1ma1eda-9_4        -286.269784153351 
1ma1eda-5_4        -286.273535443106 
